Groups,Tag
A_Cappella_Council,Music
ACLU,Social_Activism
Active_Minds,Health_and_Medicine
Aikido_Kokikai,Sports
ACS,Law
AMSA,Health_and_Medicine
Amnesty_International,Social_Activism
Animal_Welfare_Society,Social_Activism
Anthropology_Students_Association,Education
Apsara,Dance
Archery,Sports
Argentine_Tango_Club,Dance
ArtShould,Visual_Arts
Badminton,Sports
Ballroom_and_Latin_Dance_Association,Dance
Bite,Health_and_Medicine
Blockchain,STEM
Blue_Chips,Finance
Bridge_Club,Sports
Bridge_to_College,Volunteering
Camp_Kesem,Volunteering
Campus_Catalyst,Volunteering
CANA,Literature
Catcher_in_the_Rhyme,Literature
Cheerleading,Sports
Benzene,STEM
Chess_Club,Sports
Chicago_Basketball_League,Sports
Chicago_Debate_Society,Current_Events
Chicago_Economics_Forum,Finance
Chicago_Journal_of_Foreign_Policy,International
Chicago_Justice_Initiative,Social_Activism
Chicago_Linguistic_Society,Education
Chicago_Political_Analytics,Current_Events
Chicago_Raas_Team,Dance
Chicago_Shady_Dealer,Literature
Chicago_Swing_Dance_Society,Dance
Classical_Entertainment_Society,Theater
Coalition_for_Immigrant_Rights,Social_Activism
College_Bowl_Team,Sports
College_Council,Current_Events
Federal_Reserve_Challenge_Team,Finance
Comer_Tutors,Education
Community_Health_Initiative,Health_and_Medicine
Comparative_Human_Development_Student_Association,Education
Confucian_Commons,Literature
Council_On_Programming,STEM
Crew,Sports
Cricket_Club,Sports
CS_Student_Activities,STEM
Dance_Council,Dance
Defenders,Law
Derivatives_Group,Finance
Dirt_Red_Brass_Band,Music
Documentary_Films,Theater
DoGS_Lunch,STEM
Drinkers_with_a_Writing_Problem,Literature
Eckhart_Consulting,Finance
Edmund_Burke_Society,Current_Events
Effective_Altruists,Volunteering
ElevateUChicago,Social_Activism
Emergency_Medical_Society,Health_and_Medicine
Engineering_Society,STEM
ENoK,Social_Activism
Environmental_Justice_Task_Force,Social_Activism
Environmental_Research_Group,STEM
Equestria,Sports
EUChicago,International
Euphony_Journal,Literature
Excolatur_Dance_Crew,Dance
Exploring_Race,Social_Activism
Feminist_Forum,Social_Activism
Fencing_Club,Sports
Figure_Skating,Sports
Fire_Escape_Films,Theater
Folklore_Society,Visual_Arts
Food_Drug_Law_Society,Law
Food_Recovery_Network,Volunteering
French_Club,International
Friends_of_Washington_Park_Youth_Program,Volunteering
Game_Design,STEM
Gargoyle_Consulting_Club,Finance
GeneHackers,STEM
German_Club,International
Golf,Sports
Grappling,Sports
Groove_Theory,Music
Guild_of_Change_Ringers,Music
Gymnastics_Club,Sports
Harris_Community_Action,Social_Activism
Harris_Consulting_Club,Finance
Health_Professions_Recruitments_and_Exposure_Program,Health_and_Medicine
Hickams_Dictum,Theater
Homeless_Food_Run,Volunteering
Horticultural_Society,STEM
Human_Rights_Law_Society,Law
Ice_Hockey,Sports
Lawyering_for_Reproductive_Justice,Law
igniteCS,STEM
Innovators_in_Social_Policy,Current_Events
InstallART,Visual_Arts
Intercollegiate_Finance_Journal,Finance
International_Law_Society,Law
International_Leadership_Council,Current_Events
Judo_Club,Sports
Kendo_Club,Sports
Kitchen_Sink,Visual_Arts
Koong,Music
Lacrosse,Sports
Latin_American_Matters,International
Law_and_Business_Society,Law
Law_and_Economics_Society,Law
Law_of_the_Land,Law
Le_Vorris_and_Vox_Circus,Theater
Lean_on_Me,Volunteering
LegUp,Volunteering
LGBTQ_Business_Alliance,Social_Activism
Life_of_the_Mic,Theater
Major_Activities_Board,Current_Events
Make_Chicago_Smile,Volunteering
Maroon_Capital,Finance
Maroon_TV,Theater
Math_Club,STEM
MECHA,Social_Activism
Media_Literacy_Project,Social_Activism
MEDLIFE,Education
Memoryhouse,Literature
Ultimate_Frisbee,Sports
Mesa,Health_and_Medicine
Midway_Ventures,Finance
MiPPS,Education
Mock_Trial_Team,History
MODA,Visual_Arts
Model_UN,International
Moneythink,Finance
Moot_Court,Current_Events
Multi_Ethnic_Student_Society,Social_Activism
Music_Forum,Music
Neighbors,Volunteering
NEURO_Club,Health_and_Medicine
NeXus_Dance_Collective,Dance
Occams_Razor,Theater
On_a_Mission_for_Nutrition,Health_and_Medicine
oSTEM,STEM
Outdoor_Adventure_Club,Sports
Outside_the_Lines,Visual_Arts
Paintball,Sports
Paleontology_Club,Education
PanAsian_Solidarity_Coalition,Social_Activism
Partnership_for_the_Advancement_of_Refugee_Rights,Social_Activism
Paul_Douglas_Institute,Current_Events
Pediatric_Health_and_Wellness_Initiative,Health_and_Medicine
Peer_Health_Exchange,Health_and_Medicine
Pep_Band,Music
Philosophy_Review,Literature
Phoenix_Care,Volunteering
Phoenix_Development_Fund,Finance
Phoenix_Farms,Health_and_Medicine
Phoenix_Funds,Finance
Phoenix_Survivors_Alliance,Social_Activism
Phoenix_Sustainability_Initiative,Health_and_Medicine
Phoenix_Tutoring,Education
Phoenix_Undergraduate_Biological_Sciences_Organization,STEM
Platypus,Current_Events
PreMedical_Students_Association,Health_and_Medicine
Prism_Consulting,Finance
Project_Reproductive_Freedom,Social_Activism
Promontory_Investment_Research,Finance
Public_Interest_Law_Society,Law
Public_Policy_Podcasts,Current_Events
Quest_Scholars,Social_Activism
Remedy,Health_and_Medicine
Rockefeller_Business_Management,Finance
RSO_Peer_Advisors,Finance
Rugby,Sports
Ryerson_Astronomical_Society,STEM
Sailing,Sports
Scavenger_Hunt,Sports
Science_4_Kids,Volunteering
Science_Olympiad,STEM
Sensasia,International
Sexual_Assault_Awareness_and_Prevention,Social_Activism
Shotokan_Karate,Sports
Sliced_Bread_Magazine,Literature
Smart_Woman_Securities,Finance
Society_for_International_Relations,International
Society_for_Molecular_Engineering,STEM
Society_for_Social_Research,Social_Activism
Society_of_Lawn_Sports_Enthusiasts,Sports
Society_of_Physics_Students,STEM
Socioeconomic_Diversity_Alliance,Social_Activism
Sodalitas,Literature
Soul_Umoja_Gospel_Choir,Music
South_Side_Free_Music_Program,Music
South_Side_in_Focus,Visual_Arts
South_Side_Science_Scholars,STEM
Southside_Scribblers,Literature
Southside_Solidarity_Network,Social_Activism
SPIE,STEM
Splash,Volunteering
Sports_Analytics_Group,Sports
Sports_Business_Team,Sports
Spring_Break_of_Service,Volunteering
Squash,Sports
Strive_Tutoring,Education
Student_Global_Health_Alliance,Health_and_Medicine
Student_Government,Current_Events
Student_Leadership_Institute,Current_Events
Students_for_Disability_Justice,Social_Activism
Students_for_Justice_in_Palestine,Social_Activism
Students_for_Sensible_Drug_Policy,Social_Activism
Students_for_Social_Impact,Social_Activism
Supplies_for_Dreams,Education
Table_Tennis,Sports
TableTop_Tuesdays,Sports
Tae_Kwon_Do,Sports
TAMID_Group,Finance
Tap_That,Dance
Tech_Savvy_Friends,STEM
TEDxUChicago,Education
Tennis,Sports
Emergency_Fund_Student_Government,Current_Events
The_Glass_Eyeball,Visual_Arts
The_Mark,Finance
The_Midway_Review,Literature
The_Ransom_Notes,Music
The_Triple_Helix,STEM
The_Underground_Collective,Theater
Glee_Club,Music
Tiger_Talks,STEM
Tobler_Society,STEM
TriSCI,STEM
UC_Dancers,Dance
UC_Psych,Education
UChicago_Aag,Music
Audubon,Volunteering
Bhangra,Dance
Biotechnology_Association,STEM
Ceramics,Visual_Arts
E-Sports,Sports
Impact_Investing_Group,Finance
Investing_Forum,Finance
Uchicago_Law_Magazine,Law
Majalla,International
Quantum_Society,STEM
Maya,Dance
Triathlon_Club,Sports
UChicago_UNICEF,International
UChicomics,Visual_Arts
Unaccompanied_Women,Music
United_Against_Inequities_in_Disease,Health_and_Medicine
University_Ballet,Dance
University_Community_Service_Center,Volunteering
Japanese_Animation_Society,Visual_Arts
Ki_Aikido_Club,Sports
UChicago_Political_Union,Current_Events
Science_Policy_Group,STEM
University_Theater,Theater
Urban_Policy_Student_Association,Social_Activism
URoad_Runners,Sports
UROCK_Climbing_Club,Sports
Voices,Music
Volleyball,Sports
Velo_Club,Sports
Water_Polo,Sports
Whatever_It_Takes,Education
WHPK,Music
Women_and_Youth_Supporting_Each_Other,Social_Activism
Working_Document,Literature
Writers_Workshop,Literature
Wushu_Club,Sports
Yoga_Club,Sports
Zombie_Readiness_Task_Force,Sports
Bridgeport_Free_Clinic,Health_and_Medicine
Business_and_Enrepreneurship_in_the_Health_Sciences,Health_and_Medicine
